"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"31","RT @IrvingMyrie: <ed><U+00A0><U+00BE><ed><U+00B7><U+009F><U+200D><U+2642><U+FE0F>®<U+FE0F> Still having fun wit it <U+2665><U+FE0F> https://t.co/vREbhQ1ISz",FALSE,0,NA,2019-03-27 20:37:32,FALSE,NA,"1111004348182679554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RolltheDICEE",7,TRUE,FALSE,NA,NA
"32","Who’s having the most fun at #DellMatchPlay? This guy! https://t.co/HvSK2dNHqV",FALSE,1,NA,2019-03-27 20:37:31,FALSE,NA,"1111004342327361539",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","am1300thezone",0,FALSE,FALSE,NA,NA
"33","God must be having a lot of fun designing humans tho.",FALSE,0,NA,2019-03-27 20:37:28,FALSE,NA,"1111004330587549696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SupaFlyest",0,FALSE,FALSE,NA,NA
"34","RT @Rotshasa: If you aren't having the best day, remember the @BallinOutSuper community is funny and have good hearts.
Folks, they make you…",FALSE,0,NA,2019-03-27 20:37:21,FALSE,NA,"1111004302871547909",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Daniel_Saulnier",43,TRUE,FALSE,NA,NA
"35","solid tweet man ur so funny and cool for memeing a kid having a seizure @J0SSlAH https://t.co/zSLz5OO9Fd",FALSE,0,NA,2019-03-27 20:37:21,FALSE,NA,"1111004302292725765",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","clamsxo",0,FALSE,FALSE,NA,NA
"36","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:37:20,FALSE,NA,"1111004296169095168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_WeluvAngela",23304,TRUE,FALSE,NA,NA
"37","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:37:15,FALSE,NA,"1111004275159781376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","happsv",23304,TRUE,FALSE,NA,NA
"38","If you laugh thinking “oh I should laugh now,” it’s not fun at all, right? If a smile comes out naturally, it’s because you’re having “fun”~",FALSE,0,NA,2019-03-27 20:37:15,FALSE,NA,"1111004274874634240",NA,"<a href=""https://stars.happyelements.co.jp"" rel=""nofollow"">Mao Isara Bot</a>","isaramao_enbot",0,FALSE,FALSE,NA,NA
"39","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:37:11,FALSE,NA,"1111004260735565825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boy_Savage_",23304,TRUE,FALSE,NA,NA
"40","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:37:10,FALSE,NA,"1111004256172150785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thejjcabrera",23304,TRUE,FALSE,NA,NA
